instance,instance_size,variant,algorithm,seed,run,success,total_cost,num_courses,elapsed_time,llm_calls,llm_evaluation_score,llm_evaluation_nota,trajectory_path,trajectory_found,variant_type,error_message,failed,is_valid_run,is_success,has_llm_eval,is_llm_variant
synthetic_10_courses_01.json,small,A,greedy,1,1,0,18,6,0.0004047999973408,0,,,trajectories\synthetic_10_courses_01.json__A__greedy__seed1__run1.json,0,oracle,,0,True,False,False,False
synthetic_10_courses_01.json,small,A,greedy,2,2,0,18,6,7.690000347793102e-05,0,,,trajectories\synthetic_10_courses_01.json__A__greedy__seed2__run2.json,0,oracle,,0,True,False,False,False
synthetic_10_courses_01.json,small,A,greedy,3,3,0,18,6,6.739998934790492e-05,0,,,trajectories\synthetic_10_courses_01.json__A__greedy__seed3__run3.json,0,oracle,,0,True,False,False,False
synthetic_10_courses_01.json,small,A,greedy,4,4,0,18,6,4.529999569058418e-05,0,,,trajectories\synthetic_10_courses_01.json__A__greedy__seed4__run4.json,0,oracle,,0,True,False,False,False
synthetic_10_courses_01.json,small,A,greedy,5,5,0,18,6,0.0001095000188797,0,,,trajectories\synthetic_10_courses_01.json__A__greedy__seed5__run5.json,0,oracle,,0,True,False,False,False
synthetic_10_courses_01.json,small,A,a_star,1,1,1,15,6,0.0008149000059347,0,,,trajectories\synthetic_10_courses_01.json__A__a_star__seed1__run1.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,a_star,2,2,1,15,6,0.000671300018439,0,,,trajectories\synthetic_10_courses_01.json__A__a_star__seed2__run2.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,a_star,3,3,1,15,6,0.0007845000072848,0,,,trajectories\synthetic_10_courses_01.json__A__a_star__seed3__run3.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,a_star,4,4,1,15,6,0.000697699986631,0,,,trajectories\synthetic_10_courses_01.json__A__a_star__seed4__run4.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,a_star,5,5,1,15,6,0.0007784999907016,0,,,trajectories\synthetic_10_courses_01.json__A__a_star__seed5__run5.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,exact_small,1,1,1,15,6,0.0002827999996952,0,,,trajectories\synthetic_10_courses_01.json__A__exact_small__seed1__run1.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,exact_small,2,2,1,15,6,0.0001607000012882,0,,,trajectories\synthetic_10_courses_01.json__A__exact_small__seed2__run2.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,exact_small,3,3,1,15,6,0.0002371000009588,0,,,trajectories\synthetic_10_courses_01.json__A__exact_small__seed3__run3.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,exact_small,4,4,1,15,6,0.0003452999808359,0,,,trajectories\synthetic_10_courses_01.json__A__exact_small__seed4__run4.json,1,oracle,,0,True,True,False,False
synthetic_10_courses_01.json,small,A,exact_small,5,5,1,15,6,0.0004039000195916,0,,,trajectories\synthetic_10_courses_01.json__A__exact_small__seed5__run5.json,1,oracle,,0,True,True,False,False
